name,address1,address2,city,state,zip,phone,url,tags,latitude,longitude,icon,geid,personify_brcode,shadow,HRS Mon-Fri,HRS Sat-Sun
Shoreview,3760 Lexington Avenue North,,Shoreview,MN,55126,651-483-2671,/locations/shoreview_ymca/,YMCA,45.054702,-93.145024,/_asset/z8xsu9/map_icon_blue.png,20,89,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
Southdale,7355 York Avenue South,,Edina,MN,55435,952-835-2567,/locations/southdale_ymca/,YMCA,44.8697376,-93.3198893,/_asset/z8xsu9/map_icon_blue.png,29,20,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
St. Paul Downtown,194 East 6th Street,,Saint Paul,MN,55101,651-292-4143,/locations/st_paul_downtown_ymca/,YMCA,44.9492859,-93.0892172,/_asset/z8xsu9/map_icon_blue.png,14,75,/amm/themes/2011_ymca/images/map_shadow.png,5:30 a.m. - 10:00 p.m.,7:00 a.m. - 8:00 p.m.
St. Paul Eastside,875 Arcade Street,,Saint Paul,MN,55106,651-771-8881,/locations/st_paul_eastside_ymca/,YMCA,44.9676634,-93.0660041,/_asset/z8xsu9/map_icon_blue.png,35,76,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 8:00 p.m.
St. Paul Midway,1761 University Avenue West,,Saint Paul,MN,55104,651-646-4557,/locations/st_paul_midway_ymca/,YMCA,44.9559647,-93.174921,/_asset/z8xsu9/map_icon_blue.png,12,77,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 8:00 p.m.
University,1801 University Ave. SE,,Minneapolis,MN,55414,612-676-7700,/locations/university_ymca/,YMCA,44.97717,-93.230603,/_asset/z8xsu9/map_icon_blue.png,,,/amm/themes/2011_ymca/images/map_shadow.png,8:00 a.m. - 5:00 p.m.,Closed
West St. Paul,150 Thompson Avenue East,,West Saint Paul,MN,55118,651-457-0048,/locations/west_st_paul_ymca/,YMCA,44.900533,-93.078065,/_asset/z8xsu9/map_icon_blue.png,25,70,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 8:00 p.m.
White Bear Lake,2100 Orchard Lane,,White Bear Area,MN,55110,651-777-8103,/locations/white_bear_area_ymca/,YMCA,45.042615,-93.012719,/_asset/z8xsu9/map_icon_blue.png,21,88,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
Woodbury,2175 Radio Drive,,Woodbury,MN,55125,651-731-9507,/locations/woodbury_ymca/,YMCA,44.9163747,-92.9338318,/_asset/z8xsu9/map_icon_blue.png,13,83,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
Day Camp Christmas Tree,6365 Game Farm Rd.,,Minnetrista,MN,55364,952-544-7708,/camps/ymca_day_camp/day_camp_christmas_tree/,Camp,44.94721,-93.68299,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Day Camp DayCroix,532 County Rd. F,,Hudson,WI,54016,(WI) 715-386-4380 (MN) 651-436-8428,/camps/ymca_day_camp/day_camp_daycroix/,Camp,44.93938,-92.73148,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Day Camp Guy Robinson,3100 217th Ave NW,,Oak Grove,MN,55303,763-785-7882,/camps/ymca_day_camp/day_camp_guy_robinson/,Camp,45.36371,-93.34778,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Day Camp Heritage,7732 Main Street,,Lino Lakes,MN,55038,651-795-9622,/camps/ymca_day_camp/day_camp_heritage/,Camp,45.18618,-93.07152,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Day Camp Ihduhapi,3425 Ihduhapi Rd.,,Loretto,MN,55357,763-479-1146,/camps/ymca_day_camp/day_camp_ihduhapi/,Camp,45.04151,-93.64716,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Day Camp Kici Yapi,13220 Pike Lake Trail NE,,Prior Lake,MN,55372,952-835-2567,/camps/ymca_day_camp/day_camp_kici_yapi/,Camp,44.75824,-93.42928,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Day Camp Kumalya,1515 Keats Ave N,,Lake Elmo,MN,55042,651-731-9507,/camps/ymca_day_camp/day_camp_kumalya/,Camp,44.97193,-92.90324,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Day Camp Manitou,9910 Briarwood Ave NE,,Monticello,MN,55362,763-535-4800,/camps/ymca_day_camp/day_camp_manitou/,Camp,45.29466,-93.85798,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Day Camp Spring Lake,13690 Pine Bend Trail,,Rosemount,MN,55068,651-456-9622,/camps/ymca_day_camp/day_camp_spring_lake/,Camp,44.75478,-92.98218,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Day Camp Streefland,11490 Klamath Trail,,Lakeville,MN,55044,952-898-9622,/camps/ymca_day_camp/day_camp_streefland/,Camp,44.70658,-93.30341,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Camp du Nord,3606 North Arm Road,,Ely,MN,55731,651-645-6605,/camps/ymca_family_camp/camp_du_nord/,Camp,47.9744397,-91.9904173,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Camp Icaghowan ,899 A 115th Street,,Amery,WI,54011,612-822-2267,/camps/ymca_overnight_camp/camp_icaghowan/,Camp,45.3391413,-92.4175484,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Camp Ihduhapi,3425 Ihduhapi Road,,Loretto,MN,55357,612-822-2267,/camps/ymca_overnight_camp/camp_ihduhapi/,Camp,45.041156,-93.647167,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Camp Menogyn,55 Menogyn Trail,,Grand Marais,MN,55604,612-822-2267,/camps/ymca_teen_wilderness/camp_menogyn/,Camp,48.06293,-90.437897,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Camp St. Croix,532 County Road F,,Hudson,WI,54016,(WI) 715-386-4380 (MN) 651-436-8428,/camps/ymca_overnight_camp/camp_st_croix/,Camp,44.9389542,-92.7314464,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Camp Warren,3726 Miller Trunk Road,,Eveleth,MN,55734,612-822-2267,/camps/ymca_overnight_camp/camp_warren/,Camp,47.3882649,-92.5080009,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Camp Widjiwagan,3788 North Arm Road,,Ely,MN,55731,651-645-6605,/camps/ymca_teen_wilderness/camp_widjiwagan/,Camp,48.0000319,-91.952969,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Clockwork Active Media,1501 E. Hennepin Ave,,Minneapolis,MN,55414,123-456-3432,http://www.clockwork.net,Preschool,44.9917583,-93.2306039,/_asset/z8xsu9/map_icon_blue.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Jessica's Hizzy,1833 Eagle Ridge Dr.,,Mendota Heights,MN,55118,123-456-3432,http://www.clockwork.net,Childcare,44.8895243,-93.1343419,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
